inline-comment-id,# Comment,Question,Main Question,Final Label
8e2d6c79_e844b399,41,"Is this always used? If so, should it just get injected earlier?
","If so, should it just get injected earlier?",suggestion
8d2ad7bd_c9ef91be,42,"name? ZipException? May be not really easy in implementation?
",name?,discarded
8d2ad7bd_c9ef91be,43,"name? ZipException? May be not really easy in implementation?
",ZipException,suggestion
8d2ad7bd_c9ef91be,44,"name? ZipException? May be not really easy in implementation?
",May be not really easy in implementation?,criticism
cf8db5b7_ba0f58da,45,"Why is this included?  Something used before syncThread became a std::unique_ptr, perhaps?
",Why is this included?,request for rationale
cf8db5b7_ba0f58da,46,"Why is this included?  Something used before syncThread became a std::unique_ptr, perhaps?
","Something used before syncThread became a std::unique_ptr, perhaps?",suggestion
8a91eb63_cce779d9,47,"Isn't this the tcp port that the guest is requesting for a tcp transport between guest and us? :)
""suspected""? :D
",Isn't this the tcp port that the guest is requesting for a tcp transport between guest and us?,suggestion
8a91eb63_cce779d9,48,"Isn't this the tcp port that the guest is requesting for a tcp transport between guest and us? :)
""suspected""? :D
","""suspected""?",suggestion
bb7c4b2e_406c7ec6,49,"? delete unused code?
",delete unused code?,suggestion
42b1a9f0_ddb9fbe2,50,"Do we really need a function here? It seems like the logic for appending into a buffer could live in requestWlanDriverMemoryDump(). The only thing that would need to be passed in is the buffer (std::vector*).

And even the vector argument could be removed, if you return the vector by value:

  std::pair<wifi_error, std::vector<char>> requestWlanDriverMemoryDump();

To make this efficient, the std::vector can be placed into the pair using std::move().
",Do we really need a function here?,criticism
1cad5b6a_85220267,51,"Note quite sure how you've tested this, given the 0x0101-0x0104 limit check above (for which a fix is pending) - can you explain what you've Verified?  Does this just compile, or does it pass CTS on a device?
","Note quite sure how you've tested this, given the 0x0101-0x0104 limit check above (for which a fix is pending) - can you explain what you've Verified",request for clarification
1cad5b6a_85220267,52,"Note quite sure how you've tested this, given the 0x0101-0x0104 limit check above (for which a fix is pending) - can you explain what you've Verified?  Does this just compile, or does it pass CTS on a device?
","Does this just compile, or does it pass CTS on a device?",request for clarification
3c777f48_8907eac5,53,"This is essentially just a boolean, is that intended? (Not suggesting you change it, just clarifying)
","This is essentially just a boolean, is that intended?",request for clarification
503c1cf2_352644cd,54,"cut this part?

maybe just say ""lib.so"" to help the interesting part fit?
",cut this part?,suggestion
503c1cf2_352644cd,55,"cut this part?

maybe just say ""lib.so"" to help the interesting part fit?
","maybe just say ""lib.so"" to help the interesting part fit?",suggestion
AAAAwX%2F%2F%2FV4%3D,56,"How about the LAC then? If location is FFFFFFFF then mLac becomes 65535, right? Should the new test cover both lac and cid?",How about the LAC then?,request for opinion
AAAAwX%2F%2F%2FV4%3D,57,"How about the LAC then? If location is FFFFFFFF then mLac becomes 65535, right? Should the new test cover both lac and cid?"," If location is FFFFFFFF then mLac becomes 65535, right?",request for confirmation
AAAAwX%2F%2F%2FV4%3D,58,"How about the LAC then? If location is FFFFFFFF then mLac becomes 65535, right? Should the new test cover both lac and cid?
",Should the new test cover both lac and cid?,request for information
AAAAzX%2F%2F%2Bjc%3D,59,"Why are you testing add() 10 times? Either test it once, or call add 10 times and do the assert after the loop is over.
",Why are you testing add() 10 times?,criticism
AAAA3n%2F%2F%2Fpo%3D,60,"so you're looping until you close a single shell? Is that really what you want?
",so you're looping until you close a single shell?,request for confirmation
AAAA3n%2F%2F%2Fpo%3D,61,"so you're looping until you close a single shell? Is that really what you want?
",Is that really what you want?,request for confirmation
AAAA73%2F%2F%2FjU%3D,62,"is this called at all for now? I couldn't find anything that calls this

.I think it'd be good to have it linked to a preference, but probably in another patch.
",is this called at all for now?,request for information
AAABAH%2F%2F%2F%2BQ%3D,63,"can it be static?
",can it be static?,suggestion
33b7374e_1994cf89,64,"i read this to mean that we _should_ have libcore/include here and internally, but the lack of +2 makes me think you mean the opposite --- that we should add libcore/include to build/core/config.mk? (i'm confused about what the ""that"" that wangying doesn't want refers to. especially because the quoted TODO sounds like we shouldn't be adding to the list.)
","i read this to mean that we _should_ have libcore/include here and internally, but the lack of +2 makes me think you mean the opposite --- that we should add libcore/include to build/core/config.mk?",request for clarification
bee5b5f4_2a7b7fa6,65,"Is there a reason to use isnanf directly? It looks like isnan is a macro for c99 that checks the size and then uses the correct isnan function based on the size.
",Is there a reason to use isnanf directly?,request for rationale
2f78b56e_6717ea65,66,"non pdk?
Doesn't it affect the headers?
",non pdk?,discarded
2f78b56e_6717ea65,67,"non pdk?
Doesn't it affect the headers?
",Doesn't it affect the headers?,request for confirmation
9c156131_39ed8fe3,68,"Error, what's the point of the CountdownLatch ? You aren't calling await() anywhere. (When you do, don't forget to check the return value...)
","Error, what's the point of the CountdownLatch ?",request for rationale
f9a74f88_19fbd7e5,69,"Do we have kernels configured to use it though?

I made a conscientious decision to act-like we are u16 only, any larger and the table could start looking odd and we would should consider using more than 19 characters per column. We did go to some trouble to indent to pretty it up a bit.

Our kernels wrap at u16 (yes, a kernel option to use larger portion could be set up by our partners). Any larger and we would be forced to change *all* formatting below to account for increased space (more than 5 characters per-pid, per-tid or per-uid) for the column prints.
",Do we have kernels configured to use it though?,request for information
f9502fa6_25f61402,70,"Is this guaranteed to be the mem map that used to be the main space when we transitioned from CMS -> SS last time? Otherwise, as we don't specify where the bump pointer spaces are in the address space, the main space could be the ""wrong"" one that's not adjacent to the image/zygote/non-moving spaces, and the immune regions break with regard to the LOS objects which could be in the gaps anywhere?

At the minimum, if we do this, as the enforcing gapless immune region is error-prone, do you mind adding an assert that checks that whatever is put into the immune region is actually contiguous (gapless)?
",Is this guaranteed to be the mem map that used to be the main space when we transitioned from CMS -> SS last time?,request for confirmation
f9502fa6_25f61402,71,"Is this guaranteed to be the mem map that used to be the main space when we transitioned from CMS -> SS last time? Otherwise, as we don't specify where the bump pointer spaces are in the address space, the main space could be the ""wrong"" one that's not adjacent to the image/zygote/non-moving spaces, and the immune regions break with regard to the LOS objects which could be in the gaps anywhere?

At the minimum, if we do this, as the enforcing gapless immune region is error-prone, do you mind adding an assert that checks that whatever is put into the immune region is actually contiguous (gapless)?
","Otherwise, as we don't specify where the bump pointer spaces are in the address space, the main space could be the ""wrong"" one that's not adjacent to the image/zygote/non-moving spaces, and the immune regions break with regard to the LOS objects which could be in the gaps anywhere?",hypothetical scenario
f9502fa6_25f61402,72,"Is this guaranteed to be the mem map that used to be the main space when we transitioned from CMS -> SS last time? Otherwise, as we don't specify where the bump pointer spaces are in the address space, the main space could be the ""wrong"" one that's not adjacent to the image/zygote/non-moving spaces, and the immune regions break with regard to the LOS objects which could be in the gaps anywhere?

At the minimum, if we do this, as the enforcing gapless immune region is error-prone, do you mind adding an assert that checks that whatever is put into the immune region is actually contiguous (gapless)?
","At the minimum, if we do this, as the enforcing gapless immune region is error-prone, do you mind adding an assert that checks that whatever is put into the immune region is actually contiguous (gapless)?",request for action
2aa8a88f_1e7371fe,73,"can we bring quick_ into the naming here. These fields only have meaning for the quick ABI that we'd like to be in a position to deprecate.
",can we bring quick_ into the naming here.,suggestion
bf1dbc5e_9bfc8cdc,74,"okay, but you should probably reference the bug here.

does checking this in let nvidia fix their blobs so we can uncomment?
",does checking this in let nvidia fix their blobs so we can uncomment?,request for confirmation
906aaf64_4d410dc0,75,"are these drivers generic or at least open sourced? is a filename check sufficient? how do we know the driver file is the right ones?
",are these drivers generic or at least open sourced?,request for information
906aaf64_4d410dc0,76,"are these drivers generic or at least open sourced? is a filename check sufficient? how do we know the driver file is the right ones?
",is a filename check sufficient?,request for confirmation
906aaf64_4d410dc0,77,"are these drivers generic or at least open sourced? is a filename check sufficient? how do we know the driver file is the right ones?
",how do we know the driver file is the right ones?,request for rationale
f3685504_d5029c28,78,"why are you releasing peristent mem buffers here?
",why are you releasing peristent mem buffers here?,request for rationale
30474440_203892f4,79,"Nit: The commit message doesn't explain why we are doing any of this..If I had to decide whether to use the strict mode or not, what info do I need? A little bit of detail around:
 - the need for this, 
 - the proposed solution
 - and the impact of that solution (i.e. cost in terms of additional data in the patch)
would be helpful. I think you have described the solution here, but missed out the need and impact..
","If I had to decide whether to use the strict mode or not, what info do I need?",request for clarification
44a87ea2_a6c9ec39,80,"Can we walk through this file together tomorrow? I'd love some quick pointers to help me better understand this class's functionality.
",Can we walk through this file together tomorrow?,request for action
cb6f1f75_89db7930,81,"Maybe move this function to runtime/utils.h?
",Maybe move this function to runtime/utils.h?,suggestion
a3922212_1d8f332e,82,"shouldn't you use equals here?
",shouldn't you use equals here?,suggestion
267f204e_87708a06,83,"Or should we change SensorManager.getDelay to public and call it here?
",Or should we change SensorManager.getDelay to public and call it here?,suggestion
e3b7bab3_4dcaed1f,84,"If we have:

And the live interval for def is split across block boundaries. env_use1_of_def and env_use2_of_def fall into a hole of the live interval, or after the end of the live interval. And neither env_use1_of_def should get a location. That's what I mean by some env uses may be before current->GetStart().

Is that possible? Or did I get the concept wrong somewhere?
",Is that possible?,request for confirmation
e3b7bab3_4dcaed1f,85,"If we have:

And the live interval for def is split across block boundaries. env_use1_of_def and env_use2_of_def fall into a hole of the live interval, or after the end of the live interval. And neither env_use1_of_def should get a location. That's what I mean by some env uses may be before current->GetStart().

Is that possible? Or did I get the concept wrong somewhere?
",Or did I get the concept wrong somewhere?,request for confirmation
83143e89_4b7f1665,86,"I'm afraid of *any* sleep, so I'd prefer a pre-pass _hoping_ that all threads have peers. Wasn't there an issue before with low clock/timer resolution? (Piotr, it would be interesting to print out what's still alive.)
",Wasn't there an issue before with low clock/timer resolution?,request for confirmation
e3bdfae6_6fe4c74f,87,"make this const? i assume it doesn't change outside of the heap.
",make this const?,suggestion
907ac6a8_29a3cbad,88,"Is there a reason to add a segment for this? If I compare against what Clang & GCC produce, both eh_frame and eh_frame_hdr are covered by a general load (note: eh_frame_hdr is also inside a LOAD). Then the alignment isn't an issue.

If we want to keep things separated (which would be understandable), it seems that we'll have to align eh_frame.

Here's for comparison libart.so from the host:

Elf file type is DYN (Shared object file)
Entry point 0x0
There are 8 program headers, starting at offset 52
",Is there a reason to add a segment for this?,request for rationale
59d23ce8_49641715,89,"remove? (i'm surprised clang doesn't complain about this?)
",remove?,suggestion
59d23ce8_49641715,90,"remove? (i'm surprised clang doesn't complain about this?)
",(i'm surprised clang doesn't complain about this?),surprise
0d5f9dfa_ae7b8f3a,91,"is there a reason we have a header file at all? especially one that will end up in the NDK...
",is there a reason we have a header file at all?,request for rationale
1eb50aac_fc583108,92,"Just curious, do you know why we don't create these files in a test resources directory? Putting xml into a string seems annoying to maintain.
","Just curious, do you know why we don't create these files in a test resources directory?",request for information
f9ecd03d_8e9fe366,93,"what happens if r1 is sample and r2 is not?
",what happens if r1 is sample and r2 is not?,hypothetical scenario
e4aeed64_a06b6691,94,"how does this happen? Reserved values not set to 0?
",how does this happen?,request for clarification
e4aeed64_a06b6691,95,"how does this happen? Reserved values not set to 0?
",Reserved values not set to 0?,request for confirmation
64367de0_d87fa584,96,"CONFIG_SND_RAWMIDI was in previous version.
Was that correct, or should it be removed?
","Was that correct, or should it be removed?",request for clarification
a46156bd_1a1a193a,97,"What would the right solution look like after refactoring?
",What would the right solution look like after refactoring?,request for clarification
79fd56bf_7fd12f55,98,"What does this comment tell us, that the code itself does not?
","What does this comment tell us, that the code itself does not?",criticism
b988aea5_1f8923b9,99,"Which exceptions do you need to catch here? Is it just SecurityException?

We usually explicitly write out catchable exceptions eg. ""catch (SecurityException | InterruptedException e)"" because it's easier to track down the reasons for the catch that way, and unpredicted exceptions are more noticeable.
",Which exceptions do you need to catch here?,request for information
b988aea5_1f8923b9,100,"Which exceptions do you need to catch here? Is it just SecurityException?

We usually explicitly write out catchable exceptions eg. ""catch (SecurityException | InterruptedException e)"" because it's easier to track down the reasons for the catch that way, and unpredicted exceptions are more noticeable.
",Is it just SecurityException?,request for confirmation
f6d955b5_0f4f6954,101,"Can this happen now? Is Brackets still useful?
",Can this happen now?,request for confirmation
f6d955b5_0f4f6954,102,"Can this happen now? Is Brackets still useful?
",Is Brackets still useful?,request for confirmation
56278298_8fd89da6,103,"Don't you need void type to represent the return type of the functions?
",Don't you need void type to represent the return type of the functions?,suggestion
274e5eac_edfd4a21,104,"Is there a common use case for the new API? The API itself is becoming
a bit complicated. Also, please see my comment above about renaming |extra| to |context|.
",Is there a common use case for the new API?,request for opinion
f49a3677_b234601a,105,"hmm... missing static_cast<uint32_t>()? Maybe use __ANDROID_API__ instead?
",hmm... missing static_cast<uint32_t>()? ,request for confirmation
f49a3677_b234601a,106,"hmm... missing static_cast<uint32_t>()? Maybe use __ANDROID_API__ instead?
",Maybe use __ANDROID_API__ instead?,suggestion
517cf4a3_9806f936,107,"Why do you add 2 attribute list end marker?
",Why do you add 2 attribute list end marker?,request for rationale
77d1ed8b_d7804623,108,"I like your idea of having a different type for ""headset mic"" and headset.  Do you think it makes more sense for BAudioDeviceInfo to wrap audio_devices_t or the struct audio_port? I guess, for now we could start of with just audio_devices_t and then make it more complicated if needed.
",Do you think it makes more sense for BAudioDeviceInfo to wrap audio_devices_t or the struct audio_port?,suggestion
62bbe93b_0fd5a5ff,109,"Yuck. Could OpenJdK have a finalizer to do this instead?
",Could OpenJdK have a finalizer to do this instead?,suggestion
7c21d2e1_982781fb,110,"can the user install several apps at once, maybe in two different emulators?
","can the user install several apps at once, maybe in two different emulators?",request for information
0d4347e3_463248e4,111,"I assume the answer is probably ""yes""...but is the linear list of pipes still necessary for anything?  Could you *just* have the hash table?
",but is the linear list of pipes still necessary for anything?,request for confirmation
0d4347e3_463248e4,112,"I assume the answer is probably ""yes""...but is the linear list of pipes still necessary for anything?  Could you *just* have the hash table?
",Could you *just* have the hash table?,suggestion
6d7da3ec_62277a56,113,"does it mean we will use the new callbacks on all items, even the remaining ones from the previous pushFiles() call? What about just adding the callbacks to the ctor arguments list?
","does it mean we will use the new callbacks on all items, even the remaining ones from the previous pushFiles() call?",request for confirmation
6d7da3ec_62277a56,114,"does it mean we will use the new callbacks on all items, even the remaining ones from the previous pushFiles() call? What about just adding the callbacks to the ctor arguments list?
",What about just adding the callbacks to the ctor arguments list?,suggestion
125a88dd_1f1b3b63,115,"Is there a good way to build this into a Makefile as the ""install"" command? If not, oh well.
","Is there a good way to build this into a Makefile as the ""install"" command?",request for information
17227a8a_45304af1,116,"Can you already read the RA that in the delay slot?
",Can you already read the RA that in the delay slot?,request for confirmation
dc5807e8_c55386d1,117,"Using u64 looks good to me. why we need pad?
",why we need pad?,request for rationale
d4162500_dd57df40,118,"Put on the same line as above?
",Put on the same line as above?,suggestion
bbe0cb13_6c04fbc6,119,"Can you do the same test but with 2 method calls to callInlineMe01Once? It is to demonstrate the case where you would have local variables with the same name.
",Can you do the same test but with 2 method calls to callInlineMe01Once?,request for action
4f5f0559_2238ef38,120,"Do these NOLINT's have to be here? What is preventing this constructor from being marked ""explicit"" other than existing code that is relying on implicit conversions? Wouldn't it be better to have the responsible team fix those instances too?
",Do these NOLINT's have to be here?,criticism
4f5f0559_2238ef38,121,"Do these NOLINT's have to be here? What is preventing this constructor from being marked ""explicit"" other than existing code that is relying on implicit conversions? Wouldn't it be better to have the responsible team fix those instances too?
","What is preventing this constructor from being marked ""explicit"" other than existing code that is relying on implicit conversions?",request for rationale
4f5f0559_2238ef38,122,"Do these NOLINT's have to be here? What is preventing this constructor from being marked ""explicit"" other than existing code that is relying on implicit conversions? Wouldn't it be better to have the responsible team fix those instances too?
",Wouldn't it be better to have the responsible team fix those instances too?,suggestion
0554160d_e6751ed8,123,"How is this different from the one above?
",How is this different from the one above?,request for clarification
1cd63a37_9c040df3,124,"How about RadioStatus?

Saying Err is awkward:

RadioErrno error = ...
if (error == RadioErrno.SUCCESS) { ... }

'if error is success'

(alternative is SUCCESS -> NONE)
",How about RadioStatus?,suggestion
AAAA6H%2F%2F%2F%2BY%3D,125,"This is the localtimer initialization, which I believe is required early.  Why won't this work at less than 1GHz?  The target rate is 2.5MHz.  This call will initialize the prescaler to a value that gives the target rate as the TWD frequency, and cpufreq will take over once it controls the CPU rate.
",Why won't this work at less than 1GHz?,hypothetical scenario
AAAA73%2F%2F%2FUs%3D,126,"would it make sense to define this number as a constant in one of the header files?
",would it make sense to define this number as a constant in one of the header files?,suggestion
AAAA%2BH%2F%2F%2F4U%3D,127,"Is it possible to have more than one inner class level, e.g. A$B$C? -- Just wondering, I actually don't know and don't really see it in the JLS. If yes, why not just do a replaceAll $ => . ?
","Is it possible to have more than one inner class level, e.g. A$B$C?",request for information
1f816817_47f9ae9f,128,"When can this be null? If it can never be null you'd be able to get rid of a lot of the code in getBearerType.
",When can this be null?,request for information
AAAISH%2F%2F%2FrY%3D,129,"wait, this is wrong. endptr will non-NULL on success. you also need to check for endptr != argv[2] and that *endptr == '\0'. Only then do you know that the conversion is valid and the entire string was valid.

Did you test this?
",Did you test this?,request for information
AAAKtX%2F%2F%2F8I%3D,130,"Would it be shorter using temporary variable

 StorageVolume volume = mVolumeMap.get(mVolumes[0].getPath());
 if (volume != null)
   addStorageLocked(volume);

? And just single access to HashMap.
","Would it be shorter using temporary variable

 StorageVolume volume = mVolumeMap.get(mVolumes[0].",suggestion
RvSUuLvw,131,"what kind of esoteric systems are you expecting this to run on?  sizeof(char) != 8 is going to break far more than this little daemon.
",what kind of esoteric systems are you expecting this to run on?,criticism
Qd.vxkV0,132,"What about keeping the Android.mk under the cts, but just locate source to bionic/test?
","What about keeping the Android.mk under the cts, but just locate source to bionic/test?",suggestion
7220d6de_fcf851f0,133,"Is dac_override truly required?  Only needed if you need to override DAC on write operations, but always checked first by the kernel, then falls back to dac_read_search if dac_override denied and requested access is read/search.
",Is dac_override truly required?,criticism
2581bb17_f65deea6,134,"As pointed out by Igor, do we want to worry about overflow?

Given I have switched to a size_t here, rather than a ssize_t as was used in patchset 1, I believe we are covered.
","As pointed out by Igor, do we want to worry about overflow?",request for opinion
ea25b0a9_9009fa48,135,"This looks asymmetric, do you want to look at TARGET_SUPPORTS_64_BIT_APPS here ? Is that even possible.
","This looks asymmetric, do you want to look at TARGET_SUPPORTS_64_BIT_APPS here ?",request for action
ea25b0a9_9009fa48,136,"This looks asymmetric, do you want to look at TARGET_SUPPORTS_64_BIT_APPS here ? Is that even possible.
",Is that even possible.,request for opinion
e474097d_f5fbb8dd,137,"won't this break the Chrome prebuilts? (that was why i was leaning towards flags2 if and when we need it.)
",won't this break the Chrome prebuilts?,request for confirmation
73e46551_07c29a16,138,"can you add a comment on why we check for needVerify and PopupImmediately flags to show the NI dialog?
",can you add a comment on why we check for needVerify and PopupImmediately flags to show the NI dialog?,request for action
d0b427fe_a3d0b903,139,"Should we trace some sort of warning if oldWow64Value != 0 but we can't find revert below?
",Should we trace some sort of warning if oldWow64Value != 0 but we can't find revert below?,suggestion
10479fed_eda491aa,140,"3.5 is hard-coded here originally, how do you think add 'LLVM_VERSION=3.5' ?
","3.5 is hard-coded here originally, how do you think add 'LLVM_VERSION=3.5' ?",suggestion
ad15b184_8e70fa89,141,"how do you verify that AudioTrack is secure?
",how do you verify that AudioTrack is secure?,request for information
438406cc_6257b6b2,142,"are you sure about this path ?  seems like it should only be three levels deep.
",are you sure about this path ?,request for confirmation
90a1e660_9fc0172b,143,"I think the same arguments apply that triggered someone (you?) to add support for an empty goal in the first place. The way I see it, is that by letting AS make a best guess about the tasks, we can improve the guess by updating AS. So for existing projects, all unit test configurations with an empty goal get faster compile times. If in the future we need to change the set of tasks again, we can do it in code - no need to force people to edit or recreate configurations.

Does that convince you?
",Does that convince you?,request for confirmation
43116641_bdd74b43,144,"Maybe add ""CHECK-NOT: InvokeStaticOrDirect""?
","Maybe add ""CHECK-NOT: InvokeStaticOrDirect""?",suggestion
ad73f192_3b9effad,145,"shouldn't this just be a failure? if the ioctl failed for some reason, why do i think i can write these blocks? why not just error out?
",shouldn't this just be a failure?,request for confirmation
